;Winter;Sommer;Uebergang
00:00:00;129,067921;126,513114;128,8109392
01:00:00;134,2764253;125,554594;134,5672965
02:00:00;140,1287038;136,9908952;141,3541127
03:00:00;146,1280478;141,149907;146,2307303
04:00:00;155,465296;147,2694178;149,6451062
05:00:00;173,3764092;161,8345238;167,569438
06:00:00;218,5053069;200,7406999;206,4796669
07:00:00;741,1528706;707,2756553;709,601261
08:00:00;438,0511787;443,597137;484,0657673
09:00:00;319,1210748;263,3425231;310,6773116
10:00:00;296,4994253;261,1281375;298,1965272
11:00:00;646,9554323;807,5016298;795,3951413
12:00:00;601,4250753;534,3535166;589,1795493
13:00:00;214,6386684;214,3393119;209,6711979
14:00:00;204,151037;201,2953378;202,1143787
15:00:00;210,4558075;216,1276184;202,643344
16:00:00;230,13816;232,1411548;226,6993665
17:00:00;248,6700179;254,3851104;247,0829262
18:00:00;308,9043983;310,3112793;305,3528359
19:00:00;795,7179464;818,8116099;847,6237328
20:00:00;415,6968526;432,5303395;440,9272122
21:00:00;247,9569771;227,7166101;237,0491195
22:00:00;167,1596911;178,4649308;170,9121187
23:00:00;143,0052763;138,5469905;143,3716592
